Model,Threshold,Sensitivity,Specificity,PositivePredictiveValue,NegativePredictiveValue
Group ~ IL17C + age,0.522833544609713,0.717391304347826,0.515151515151515,0.673469387755102,0.566666666666667
Group ~ IL17C + age,0.531160369348149,0.717391304347826,0.545454545454545,0.6875,0.580645161290323
Group ~ IL17C + age,0.542604875301608,0.695652173913044,0.545454545454545,0.680851063829787,0.5625
Group ~ IL17C + age,0.550854308923117,0.695652173913044,0.575757575757576,0.695652173913044,0.575757575757576
Group ~ IL17C + age,0.560211268649665,0.695652173913044,0.606060606060606,0.711111111111111,0.588235294117647
Group ~ IL17C + age,0.569689438503857,0.673913043478261,0.606060606060606,0.704545454545455,0.571428571428571
Group ~ IL17C + age,0.572823024735522,0.673913043478261,0.636363636363636,0.72093023255814,0.583333333333333
Group ~ IL17C + age,0.57837792102573,0.652173913043478,0.636363636363636,0.714285714285714,0.567567567567568
Group ~ IL17C + age,0.582866127156865,0.630434782608696,0.636363636363636,0.707317073170732,0.552631578947369
Group ~ IL17C + age,0.583209904064264,0.608695652173913,0.636363636363636,0.7,0.538461538461538
Group ~ IL17C + age,0.584349236519896,0.586956521739131,0.636363636363636,0.692307692307692,0.525
Group ~ IL17C + age,0.586322562950945,0.565217391304348,0.636363636363636,0.68421052631579,0.51219512195122
Group ~ IL17C + age,0.588102595092208,0.565217391304348,0.666666666666667,0.702702702702703,0.523809523809524
Group ~ IL17C + age,0.591055243038297,0.565217391304348,0.696969696969697,0.722222222222222,0.534883720930233
Group ~ IL17C + age,0.595566772710972,0.565217391304348,0.727272727272727,0.742857142857143,0.545454545454545
Group ~ IL17C + age,0.598726062113948,0.543478260869565,0.727272727272727,0.735294117647059,0.533333333333333
Group ~ IL17C + age,0.600314755861252,0.521739130434783,0.727272727272727,0.727272727272727,0.521739130434783
Group ~ IL17C + age,0.605189765043416,0.5,0.727272727272727,0.71875,0.51063829787234
Group ~ IL17C + age,0.612883292135492,0.478260869565217,0.727272727272727,0.709677419354839,0.5
Group ~ IL17C + age,0.618770546226951,0.456521739130435,0.727272727272727,0.7,0.489795918367347
Group ~ IL17C + age,0.624287338511684,0.434782608695652,0.727272727272727,0.689655172413793,0.48
Group ~ IL17C + age,0.628410535036755,0.434782608695652,0.757575757575758,0.714285714285714,0.490196078431373
Group ~ IL17C + age,0.631153401826495,0.434782608695652,0.787878787878788,0.740740740740741,0.5
Group ~ IL17C + age,0.634157072142459,0.434782608695652,0.818181818181818,0.769230769230769,0.509433962264151
Group ~ IL17C + age,0.642052212062544,0.41304347826087,0.818181818181818,0.76,0.5
Group ~ IL17C + age,0.651145507418929,0.391304347826087,0.818181818181818,0.75,0.490909090909091
Group ~ IL17C + age,0.654319531141119,0.369565217391304,0.818181818181818,0.739130434782609,0.482142857142857
Group ~ IL17C + age,0.655905287358383,0.347826086956522,0.818181818181818,0.727272727272727,0.473684210526316
Group ~ IL17C + age,0.665260055928957,0.326086956521739,0.818181818181818,0.714285714285714,0.46551724137931
Group ~ IL17C + age,0.676495999536599,0.304347826086957,0.818181818181818,0.7,0.457627118644068
Group ~ IL17C + age,0.683503002412004,0.282608695652174,0.818181818181818,0.68421052631579,0.45
Group ~ IL17C + age,0.693430830031984,0.260869565217391,0.818181818181818,0.666666666666667,0.442622950819672
Group ~ IL17C + age,0.699422484909424,0.260869565217391,0.848484848484848,0.705882352941177,0.451612903225806
Group ~ IL17C + age,0.70100615005303,0.239130434782609,0.848484848484848,0.6875,0.444444444444444
Group ~ IL17C + age,0.703431978958227,0.217391304347826,0.848484848484848,0.666666666666667,0.4375
Group ~ IL17C + age,0.713316792631714,0.195652173913043,0.848484848484848,0.642857142857143,0.430769230769231
